,iso2,year,age,cases,sex
6,AD,1996,0-14,0,m
7,AD,1997,0-14,0,m
8,AD,1998,0-14,0,m
9,AD,1999,0-14,0,m
10,AD,2000,0-14,0,m
11,AD,2001,0-14,0,m
12,AD,2002,0-14,0,m
13,AD,2003,0-14,0,m
14,AD,2004,0-14,0,m
15,AD,2005,0-14,0,m
16,AD,2006,0-14,0,m
18,AD,2008,0-14,0,m
35,AE,1999,0-14,4,m
36,AE,2000,0-14,2,m
38,AE,2002,0-14,1,m
39,AE,2003,0-14,2,m
40,AE,2004,0-14,1,m
42,AE,2006,0-14,0,m
43,AE,2007,0-14,2,m
44,AE,2008,0-14,0,m
57,AF,1997,0-14,0,m
58,AF,1998,0-14,30,m
59,AF,1999,0-14,8,m
60,AF,2000,0-14,52,m
61,AF,2001,0-14,129,m
62,AF,2002,0-14,90,m
63,AF,2003,0-14,127,m
64,AF,2004,0-14,139,m
65,AF,2005,0-14,151,m
66,AF,2006,0-14,193,m
67,AF,2007,0-14,186,m
68,AF,2008,0-14,187,m
83,AG,1996,0-14,0,m
87,AG,2000,0-14,0,m
89,AG,2002,0-14,0,m
90,AG,2003,0-14,0,m
94,AG,2007,0-14,0,m
114,AI,2004,0-14,0,m
131,AL,1995,0-14,0,m
133,AL,1997,0-14,0,m
134,AL,1998,0-14,1,m
135,AL,1999,0-14,0,m
136,AL,2000,0-14,2,m
137,AL,2001,0-14,3,m
138,AL,2002,0-14,0,m
139,AL,2003,0-14,0,m
140,AL,2004,0-14,5,m
141,AL,2005,0-14,0,m
142,AL,2006,0-14,5,m
143,AL,2007,0-14,0,m
144,AL,2008,0-14,1,m
160,AM,1995,0-14,1,m
161,AM,1996,0-14,2,m
162,AM,1997,0-14,2,m
163,AM,1998,0-14,2,m
164,AM,1999,0-14,4,m
165,AM,2000,0-14,2,m
166,AM,2001,0-14,2,m
167,AM,2002,0-14,1,m
168,AM,2003,0-14,12,m
169,AM,2004,0-14,2,m
170,AM,2005,0-14,3,m
171,AM,2006,0-14,0,m
172,AM,2007,0-14,1,m
173,AM,2008,0-14,0,m
174,AN,1996,0-14,0,m
175,AN,1997,0-14,0,m
176,AN,1998,0-14,0,m
177,AN,1999,0-14,0,m
178,AN,2000,0-14,0,m
179,AN,2001,0-14,0,m
180,AN,2002,0-14,0,m
181,AN,2003,0-14,0,m
182,AN,2004,0-14,1,m
184,AN,2006,0-14,0,m
202,AO,1995,0-14,386,m
203,AO,1996,0-14,360,m
204,AO,1997,0-14,419,m
205,AO,1998,0-14,240,m
206,AO,1999,0-14,391,m
207,AO,2000,0-14,186,m
208,AO,2001,0-14,230,m
209,AO,2002,0-14,435,m
210,AO,2003,0-14,409,m
211,AO,2004,0-14,554,m
212,AO,2005,0-14,520,m
213,AO,2006,0-14,540,m
